2026-08-26T13:01:12Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 47.92°C | 174.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 38.34°C |  39.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 38.19°C |  39.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 39.50°C |  41.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 37.45°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 39.34°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 33.67°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 36.78°C |  40.00 W | 0000:c4:00.0 |
2026-08-26T13:02:10Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 56.47°C | 182.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 36.66°C |  39.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 37.08°C |  39.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 37.45°C |  40.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 37.08°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 38.59°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 33.86°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 36.59°C |  40.00 W | 0000:c4:00.0 |
2026-08-26T13:03:07Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 56.35°C | 182.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 34.06°C |  39.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 34.84°C |  38.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 34.85°C |  40.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 36.52°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 37.11°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 34.23°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 36.41°C |  40.00 W | 0000:c4:00.0 |
2026-08-26T13:04:04Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 58.56°C | 186.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 32.57°C |  38.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 33.91°C |  38.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 33.36°C |  39.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 36.34°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 36.36°C |  38.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 34.23°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 36.41°C |  40.00 W | 0000:c4:00.0 |
2026-08-26T13:05:01Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 57.40°C | 183.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 31.83°C |  38.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 33.36°C |  38.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 32.62°C |  39.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 35.59°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 35.99°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 34.60°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 36.41°C |  40.00 W | 0000:c4:00.0 |
2026-08-26T13:05:58Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 57.96°C | 181.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 31.46°C |  38.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 32.80°C |  38.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 32.06°C |  39.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 35.97°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 35.80°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 34.60°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 36.41°C |  40.00 W | 0000:c4:00.0 |
